Employment,Country,AISearchDevAdmired
"Employed, full-time",Malaysia,NA
"Independent contractor, freelancer, or self-employed",United Kingdom of Great Britain and Northern Ireland,GitHub Copilot
"Employed, full-time",France,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Independent contractor, freelancer, or self-employed",Ukraine,NA
"Student, full-time",France,ChatGPT;GitHub Copilot
"Employed, full-time",Sweden,NA
"Not employed, but looking for work",Nigeria,ChatGPT;Google Gemini;Meta AI
"Student, part-time;Employed, part-time",Armenia,ChatGPT;Claude;Perplexity AI;Visual Studio Intellicode
"Independent contractor, freelancer, or self-employed",Norway,ChatGPT;GitHub Copilot
"Employed, full-time;Student, part-time",Romania,ChatGPT;GitHub Copilot
"Employed, full-time",Bulgaria,ChatGPT
"Student, full-time",Italy,ChatGPT;GitHub Copilot
"Employed, full-time",United Arab Emirates,NA
Retired,Australia,ChatGPT
"Employed, full-time;Independent contractor, freelancer, or self-employed",Poland,ChatGPT
"Employed, full-time",India,ChatGPT
"Independent contractor, freelancer, or self-employed",Germany,NA
"Employed, full-time",Portugal,ChatGPT;GitHub Copilot;Google Gemini
"Employed, full-time",Italy,NA
"Employed, full-time",United States of America,GitHub Copilot;Google Gemini
"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",Indonesia,NA
"Employed, part-time",Bangladesh,ChatGPT
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Ukraine,ChatGPT
"Employed, full-time",Italy,NA
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot;Google Gemini
"Employed, full-time",Norway,NA
"Employed, full-time",Sweden,NA
"Employed, full-time",Germany,ChatGPT;Claude
"Employed, full-time;Independent contractor, freelancer, or self-employed",Serbia,NA
"Employed, full-time",Pakistan,NA
"Student, full-time",Myanmar,Bing AI;ChatGPT;Codeium;GitHub Copilot;Google Gemini
"Employed, full-time",Germany,NA
"Employed, full-time",Israel,NA
"Employed, full-time",Germany,ChatGPT
"Employed, full-time",Taiwan,ChatGPT;GitHub Copilot;Phind;Visual Studio Intellicode
"Employed, full-time",Germany,Claude;GitHub Copilot
"Employed, full-time",Australia,NA
"Employed, full-time",Denmark,NA
"Employed, full-time;Student, part-time",Ireland,Bing AI;ChatGPT;GitHub Copilot;WolframAlpha;Visual Studio Intellicode
"Employed, full-time",Belgium,ChatGPT
"Employed, full-time",Finland,Bing AI;ChatGPT;GitHub Copilot;Snyk Code
"Employed, full-time",Germany,ChatGPT
"Employed, full-time",India,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Czech Republic,GitHub Copilot
"Employed, full-time",Greece,ChatGPT;GitHub Copilot
"Employed, full-time",Sweden,ChatGPT
"Employed, full-time",Japan,Bing AI
"Employed, full-time",France,Bing AI;Perplexity AI;Phind;WolframAlpha
"Not employed, but looking for work",Ukraine,Bing AI;ChatGPT
"Employed, full-time",Lithuania,NA
"Employed, full-time",Spain,NA
"Employed, full-time",Fiji,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Spain,ChatGPT
"Employed, full-time",Sweden,ChatGPT;GitHub Copilot
"Employed, full-time",Ukraine,NA
"Employed, full-time",Bulgaria,ChatGPT;GitHub Copilot
"Employed, full-time",Netherlands,NA
"Employed, full-time",Switzerland,NA
"Employed, full-time",Ukraine,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Canada,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Russian Federation,Bing AI;ChatGPT
"Employed, full-time;Student, full-time",Nigeria,ChatGPT;Claude;GitHub Copilot;Google Gemini
"Employed, full-time",Ukraine,ChatGPT
"Not employed, but looking for work",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Austria,NA
"Employed, full-time",South Korea,ChatGPT;GitHub Copilot;Google Gemini
"Employed, full-time",India,ChatGPT
"Employed, full-time",Austria,NA
"Student, full-time",Sweden,ChatGPT
"Employed, full-time",France,ChatGPT;GitHub Copilot
Retired,United Kingdom of Great Britain and Northern Ireland,GitHub Copilot
"Employed, full-time",Ukraine,ChatGPT
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Switzerland,NA
"Independent contractor, freelancer, or self-employed",Italy,ChatGPT;Visual Studio Intellicode
"Employed, full-time",United States of America,NA
"Independent contractor, freelancer, or self-employed;Employed, part-time",Ukraine,ChatGPT
"Employed, full-time",Germany,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT
"Student, full-time;Not employed, but looking for work",Australia,ChatGPT;GitHub Copilot
"Employed, full-time",Netherlands,ChatGPT;Codeium
"Employed, full-time",Belgium,Google Gemini
"Independent contractor, freelancer, or self-employed",Czech Republic,ChatGPT
"Independent contractor, freelancer, or self-employed",Sri Lanka,NA
"Independent contractor, freelancer, or self-employed",India,ChatGPT
"Employed, full-time",Germany,NA
"Employed, full-time",United States of America,Bing AI;ChatGPT;Google Gemini;Phind;Visual Studio Intellicode
"Employed, full-time",Republic of Moldova,NA
"Employed, full-time",Bulgaria,ChatGPT
"Employed, full-time",Sweden,NA
"Employed, full-time",Norway,NA
"Independent contractor, freelancer, or self-employed",Germany,NA
"Employed, full-time",Ukraine,NA
"Student, full-time",France,NA
"Employed, full-time",Switzerland,ChatGPT;Claude
"Independent contractor, freelancer, or self-employed",Pakistan,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",United Kingdom of Great Britain and Northern Ireland,ChatGPT
"Employed, full-time",Poland,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT;Visual Studio Intellicode
"Independent contractor, freelancer, or self-employed",Germany,NA
"Employed, full-time",Ukraine,NA
"Employed, full-time",Romania,NA
"Employed, part-time",Saudi Arabia,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Sweden,ChatGPT
"Student, part-time;Employed, part-time",Austria,NA
"Employed, full-time",Spain,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Russian Federation,ChatGPT
"Student, full-time;Employed, part-time",Poland,GitHub Copilot
"Employed, full-time",Ireland,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time;Student, part-time",Belgium,ChatGPT;GitHub Copilot;Google Gemini;Phind
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,GitHub Copilot
"Employed, full-time",Australia,ChatGPT;Cody
"Employed, full-time",Italy,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Independent contractor, freelancer, or self-employed",Italy,Bing AI;ChatGPT;Google Gemini
"Employed, full-time",Taiwan,ChatGPT;Claude;Codeium;GitHub Copilot;Whispr AI
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Independent contractor, freelancer, or self-employed",South Africa,Codeium;GitHub Copilot;Perplexity AI
"Student, full-time",Japan,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Poland,ChatGPT;GitHub Copilot
"Employed, full-time",India,ChatGPT;Claude;Google Gemini
"Employed, full-time",Germany,ChatGPT
"Student, full-time;Not employed, but looking for work",India,Google Gemini;Visual Studio Intellicode
"Employed, full-time",India,ChatGPT
"Employed, full-time",United States of America,ChatGPT;Claude;GitHub Copilot;Google Gemini
"Independent contractor, freelancer, or self-employed",Netherlands,ChatGPT;GitHub Copilot
"Not employed, and not looking for work",Australia,NA
"Employed, full-time",Ukraine,NA
"Employed, full-time",India,Bing AI;ChatGPT;GitHub Copilot;Google Gemini
"Employed, full-time",Bulgaria,NA
"Employed, full-time",Georgia,ChatGPT
"Employed, full-time;Independent contractor, freelancer, or self-employed",France,NA
"Student, full-time",Austria,WolframAlpha
"Independent contractor, freelancer, or self-employed",Greece,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",India,NA
"Employed, full-time",France,NA
"Employed, full-time",Ukraine,ChatGPT;Claude;Google Gemini
"Independent contractor, freelancer, or self-employed",Ukraine,ChatGPT
"Not employed, but looking for work",United States of America,ChatGPT;Google Gemini
"Not employed, but looking for work",Ukraine,ChatGPT
"Employed, full-time",Germany,NA
"Student, full-time;Employed, part-time",Germany,NA
"Employed, full-time",Sweden,NA
"Employed, full-time",Croatia,NA
"Employed, full-time",Malaysia,Codeium;Phind
"Employed, full-time",Germany,ChatGPT
"Employed, full-time",Norway,NA
"Independent contractor, freelancer, or self-employed",United Kingdom of Great Britain and Northern Ireland,Snyk Code;Tabnine
"Employed, full-time",Spain,NA
"Independent contractor, freelancer, or self-employed",Austria,ChatGPT
"Employed, part-time",Netherlands,ChatGPT;GitHub Copilot
"Student, full-time",Netherlands,ChatGPT
"Employed, full-time",Germany,NA
"Employed, full-time",Sweden,Bing AI;ChatGPT
"Student, full-time;Employed, part-time",Germany,NA
"Employed, full-time",France,NA
"Employed, full-time",Spain,Claude;Codeium
"Employed, full-time",China,Bing AI
"Student, full-time;Employed, part-time",Indonesia,ChatGPT;Google Gemini;Perplexity AI
"Student, full-time",India,ChatGPT;Claude;Google Gemini;Visual Studio Intellicode
"Employed, full-time",Nepal,ChatGPT
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",Romania,NA
"Employed, full-time",Poland,Phind
"Employed, part-time",Ukraine,ChatGPT
"Employed, full-time;Student, full-time;Not employed, but looking for work;Independent contractor, freelancer, or self-employed;Not employed, and not looking for work;Student, part-time;Employed, part-time;Retired",Albania,NA
"Employed, full-time",Nepal,NA
"Employed, full-time",Denmark,Visual Studio Intellicode
"Employed, full-time",Ukraine,ChatGPT;Claude
"Employed, full-time",India,ChatGPT
"Employed, full-time",Estonia,ChatGPT;GitHub Copilot
"Employed, full-time",India,ChatGPT;Google Gemini
"Not employed, and not looking for work",United States of America,ChatGPT
"Employed, full-time",Turkey,ChatGPT
Retired,Australia,NA
"Employed, full-time",India,NA
"Independent contractor, freelancer, or self-employed",Egypt,ChatGPT
"Employed, full-time",Canada,ChatGPT;GitHub Copilot
"Employed, full-time",Sweden,Codeium;Google Gemini
"Independent contractor, freelancer, or self-employed",India,ChatGPT
"Employed, full-time",Sweden,Bing AI;ChatGPT;Visual Studio Intellicode
"Employed, full-time",Germany,ChatGPT;GitHub Copilot
"Employed, full-time",Spain,GitHub Copilot
"Employed, full-time",Sweden,ChatGPT
"Employed, full-time",France,Codeium
"Student, full-time;Independent contractor, freelancer, or self-employed",Greece,ChatGPT;GitHub Copilot
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Hungary,NA
"Employed, full-time",Ukraine,NA
"Employed, full-time",Ukraine,ChatGPT;Claude;WolframAlpha
"Employed, full-time",Sweden,Bing AI
"Employed, full-time",Germany,GitHub Copilot
"Employed, full-time",Russian Federation,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",Senegal,ChatGPT;GitHub Copilot;Google Gemini
"Employed, part-time",Spain,GitHub Copilot
"Employed, full-time;Student, full-time",Netherlands,WolframAlpha;Visual Studio Intellicode
"Employed, full-time",Germany,NA
"Employed, full-time",Switzerland,NA
"Employed, full-time",Poland,NA
"Employed, full-time",Austria,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Czech Republic,ChatGPT;Google Gemini
"Employed, full-time",Australia,NA
"Student, full-time",Australia,NA
"Employed, full-time",Australia,ChatGPT;GitHub Copilot
"Employed, full-time",Ukraine,ChatGPT;Claude
"Employed, full-time",Norway,NA
"Student, full-time",Switzerland,ChatGPT
"Employed, full-time",France,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Serbia,ChatGPT
"Employed, full-time;Independent contractor, freelancer, or self-employed",Ukraine,ChatGPT;GitHub Copilot;WolframAlpha
"Employed, full-time",Denmark,NA
"Employed, full-time",New Zealand,NA
"Employed, full-time",Denmark,NA
"Employed, full-time",Ukraine,ChatGPT
"Employed, full-time",Spain,NA
"Employed, full-time",India,NA
"Employed, full-time",India,ChatGPT;Google Gemini
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Poland,NA
"Independent contractor, freelancer, or self-employed",Russian Federation,ChatGPT;GitHub Copilot
"Employed, full-time;Student, part-time",Switzerland,ChatGPT;GitHub Copilot;Google Gemini
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,GitHub Copilot
"Employed, full-time",France,Tabnine
"Employed, full-time",New Zealand,ChatGPT
"Employed, full-time",Ukraine,Bing AI;ChatGPT;GitHub Copilot
"Employed, full-time",France,ChatGPT;GitHub Copilot
"Employed, full-time",Russian Federation,Bing AI;ChatGPT;Codeium;Google Gemini;Perplexity AI;Tabnine;You.com
"Student, full-time;Independent contractor, freelancer, or self-employed",Poland,Bing AI;ChatGPT;Visual Studio Intellicode
"Employed, full-time",Netherlands,ChatGPT;GitHub Copilot
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT;Visual Studio Intellicode
"Employed, full-time",Austria,ChatGPT;GitHub Copilot
"Employed, full-time",Tunisia,NA
I prefer not to say,France,ChatGPT;GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",Ukraine,ChatGPT
"Student, full-time;Employed, part-time",United Kingdom of Great Britain and Northern Ireland,Google Gemini
"Employed, full-time",Austria,NA
"Employed, full-time",Netherlands,ChatGPT;GitHub Copilot
"Employed, full-time",Lithuania,ChatGPT;GitHub Copilot
"Employed, full-time",Germany,ChatGPT;GitHub Copilot
"Employed, full-time",Ukraine,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",Germany,ChatGPT;Visual Studio Intellicode
"Employed, full-time",Bulgaria,Visual Studio Intellicode
"Employed, full-time",Kazakhstan,Bing AI;ChatGPT
"Employed, full-time",Germany,NA
"Employed, full-time",Ukraine,ChatGPT;Visual Studio Intellicode
"Student, full-time",Slovenia,ChatGPT
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT;GitHub Copilot;Google Gemini;Visual Studio Intellicode
"Employed, full-time;Employed, part-time",China,NA
"Employed, full-time",Sweden,GitHub Copilot
"Independent contractor, freelancer, or self-employed",Poland,NA
"Employed, full-time",Germany,ChatGPT;WolframAlpha
"Employed, full-time",Bosnia and Herzegovina,Bing AI;GitHub Copilot
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Netherlands,Bing AI;GitHub Copilot;WolframAlpha
"Employed, full-time",Austria,ChatGPT;GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",Austria,Bing AI;ChatGPT;Google Gemini;Perplexity AI
"Employed, full-time",Hungary,ChatGPT
"Employed, full-time;Student, full-time",Ukraine,ChatGPT;Google Gemini
"Employed, full-time",Philippines,ChatGPT;Google Gemini
"Employed, full-time",Germany,ChatGPT;GitHub Copilot
"Independent contractor, freelancer, or self-employed",United Kingdom of Great Britain and Northern Ireland,ChatGPT
"Not employed, but looking for work",Australia,NA
"Student, full-time",Germany,GitHub Copilot
"Employed, full-time",Indonesia,NA
"Employed, full-time",Austria,Bing AI;ChatGPT
"Student, full-time;Employed, part-time",France,ChatGPT;GitHub Copilot
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,Bing AI
"Student, full-time;Employed, part-time",Austria,Bing AI;ChatGPT;GitHub Copilot
"Employed, full-time",Ukraine,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Russian Federation,ChatGPT;Claude;Codeium;Google Gemini;Perplexity AI
"Employed, full-time",Serbia,ChatGPT
"Employed, full-time",Belgium,GitHub Copilot
"Employed, full-time",Lithuania,Tabnine;Visual Studio Intellicode
"Not employed, but looking for work;Student, part-time",Sweden,WolframAlpha
"Employed, full-time",Netherlands,Bing AI;ChatGPT;Visual Studio Intellicode
"Employed, full-time",Austria,NA
"Employed, full-time",India,GitHub Copilot
"Employed, full-time",Serbia,ChatGPT
"Employed, full-time",Ukraine,NA
"Independent contractor, freelancer, or self-employed",Russian Federation,ChatGPT;Google Gemini
"Student, full-time;Employed, part-time",Spain,ChatGPT
"Employed, full-time",Netherlands,NA
"Student, full-time",South Korea,NA
"Employed, full-time",Germany,ChatGPT
"Employed, full-time",Czech Republic,ChatGPT
"Employed, full-time",India,ChatGPT;GitHub Copilot
"Employed, full-time",Poland,ChatGPT
"Employed, full-time",Germany,ChatGPT;GitHub Copilot;Replit Ghostwriter
"Employed, full-time",Germany,ChatGPT
"Employed, full-time",Ukraine,NA
"Employed, full-time;Student, part-time",Poland,NA
"Employed, full-time",India,Bing AI;ChatGPT;GitHub Copilot;Meta AI
"Student, part-time;Employed, part-time",Austria,ChatGPT;Claude;Quora Poe
"Employed, full-time",China,Bing AI;ChatGPT
"Employed, full-time",Spain,ChatGPT;GitHub Copilot
"Employed, full-time;Student, full-time",Ukraine,ChatGPT;Visual Studio Intellicode
"Employed, full-time",Russian Federation,ChatGPT
"Employed, full-time",Croatia,ChatGPT
"Student, full-time;Employed, part-time",Austria,ChatGPT;GitHub Copilot;Google Gemini
"Employed, full-time",Australia,Visual Studio Intellicode
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Chile,ChatGPT
"Independent contractor, freelancer, or self-employed",Nomadic,NA
"Employed, full-time",France,ChatGPT;GitHub Copilot;WolframAlpha
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time","Iran, Islamic Republic of...",ChatGPT
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT;GitHub Copilot
"Employed, full-time",India,GitHub Copilot
"Employed, full-time",Austria,NA
"Employed, full-time",New Zealand,NA
"Student, full-time;Not employed, but looking for work",India,ChatGPT;WolframAlpha
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Independent contractor, freelancer, or self-employed",Republic of Moldova,ChatGPT;GitHub Copilot
"Employed, full-time",Italy,ChatGPT
"Employed, full-time",Ukraine,ChatGPT
"Employed, full-time",Slovakia,ChatGPT
"Employed, full-time",Germany,WolframAlpha
"Employed, full-time",France,ChatGPT;GitHub Copilot;Google Gemini
"Employed, full-time",Brazil,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Employed, full-time",France,GitHub Copilot
"Employed, full-time",Poland,NA
"Student, full-time;Not employed, but looking for work",Ukraine,ChatGPT;Codeium
"Employed, full-time",India,Bing AI;ChatGPT
"Employed, full-time",Spain,ChatGPT;GitHub Copilot
"Independent contractor, freelancer, or self-employed",Portugal,Bing AI;ChatGPT;Claude;Codeium;GitHub Copilot;Google Gemini;Lightning AI;Meta AI
"Employed, full-time",Germany,ChatGPT;GitHub Copilot;Google Gemini;Tabnine
"Employed, full-time",Ukraine,NA
"Employed, full-time",Spain,ChatGPT;Codeium;GitHub Copilot
"Student, full-time",United States of America,ChatGPT
"Employed, full-time",France,ChatGPT
"Employed, full-time",Netherlands,ChatGPT;GitHub Copilot
"Employed, full-time","Iran, Islamic Republic of...",ChatGPT;GitHub Copilot
"Employed, full-time",Netherlands,Bing AI;GitHub Copilot;Visual Studio Intellicode
"Employed, full-time",Denmark,ChatGPT;Codeium;GitHub Copilot;Google Gemini
"Employed, full-time",Germany,ChatGPT;GitHub Copilot
"Employed, full-time",Germany,ChatGPT
"Student, full-time",France,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Employed, full-time",Germany,ChatGPT;GitHub Copilot
"Employed, full-time",Brazil,NA
"Employed, full-time",Brazil,GitHub Copilot
"Student, full-time",Germany,ChatGPT
"Employed, full-time",China,ChatGPT;Claude;GitHub Copilot
"Independent contractor, freelancer, or self-employed",Ukraine,ChatGPT;Visual Studio Intellicode
"Employed, full-time",Taiwan,NA
"Employed, full-time",Pakistan,ChatGPT
"Employed, full-time",Germany,NA
"Employed, full-time",Sweden,NA
"Employed, full-time",Germany,Visual Studio Intellicode
"Employed, full-time",United States of America,Google Gemini
"Employed, full-time",Belgium,NA
"Employed, full-time",France,NA
"Employed, full-time",Ukraine,NA
"Employed, full-time",New Zealand,ChatGPT;GitHub Copilot
"Independent contractor, freelancer, or self-employed;Student, part-time;Employed, part-time",Iraq,ChatGPT;Claude;Google Gemini
"Employed, full-time",Austria,NA
"Employed, part-time",Germany,GitHub Copilot;Visual Studio Intellicode
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",India,ChatGPT
"Employed, full-time",Ukraine,ChatGPT;Perplexity AI
"Student, part-time;Employed, part-time",France,NA
"Employed, full-time",Ukraine,Amazon Q;ChatGPT;Codeium
"Employed, full-time",Ukraine,GitHub Copilot;Google Gemini
"Employed, full-time",Malaysia,ChatGPT;GitHub Copilot;Google Gemini
"Student, full-time",Sweden,ChatGPT
"Employed, full-time",Poland,NA
"Student, part-time;Employed, part-time",Austria,ChatGPT
"Employed, full-time",India,ChatGPT
"Student, full-time;Not employed, but looking for work",Czech Republic,ChatGPT;GitHub Copilot
"Student, full-time;Employed, part-time",Austria,ChatGPT
"Employed, full-time",Ukraine,ChatGPT
"Employed, full-time",Norway,Amazon Q;Codeium;WolframAlpha
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Malta,ChatGPT
"Student, full-time",France,NA
"Employed, full-time",Bangladesh,ChatGPT;GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",Turkey,NA
"Student, full-time;Employed, part-time",Spain,Bing AI;ChatGPT
"Employed, full-time",India,NA
"Employed, part-time",Germany,NA
"Employed, full-time",Ukraine,ChatGPT
"Employed, full-time",Switzerland,Tabnine
"Independent contractor, freelancer, or self-employed",Portugal,ChatGPT
"Employed, full-time",India,NA
"Independent contractor, freelancer, or self-employed",Germany,NA
"Not employed, but looking for work",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, part-time",Switzerland,GitHub Copilot
"Employed, full-time",Italy,GitHub Copilot;Google Gemini
"Employed, full-time",France,NA
"Student, full-time",Netherlands,ChatGPT;GitHub Copilot
"Employed, full-time",Belgium,ChatGPT
"Employed, full-time",Ukraine,NA
"Employed, full-time",Germany,ChatGPT;GitHub Copilot
"Employed, full-time",Croatia,ChatGPT;GitHub Copilot
"Employed, full-time",Denmark,GitHub Copilot
"Employed, full-time",Austria,NA
"Employed, full-time",India,ChatGPT
"Employed, full-time",France,ChatGPT;GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",United States of America,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Ukraine,NA
"Employed, full-time;Student, part-time",Ukraine,ChatGPT;Google Gemini;WolframAlpha
"Employed, full-time",Ukraine,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",India,ChatGPT;GitHub Copilot;Google Gemini
"Employed, full-time",France,NA
"Employed, full-time",Spain,NA
"Employed, full-time",Uzbekistan,ChatGPT;Google Gemini
"Independent contractor, freelancer, or self-employed",Austria,Bing AI;ChatGPT
"Employed, full-time",Ukraine,NA
"Employed, full-time",Ukraine,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT;Claude;GitHub Copilot
"Employed, full-time",Sweden,ChatGPT;GitHub Copilot;Snyk Code;Tabnine
"Student, full-time;Not employed, but looking for work",Poland,NA
"Not employed, but looking for work",Ukraine,GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",Portugal,ChatGPT;GitHub Copilot;Google Gemini;Perplexity AI;Tabnine
"Employed, full-time;Independent contractor, freelancer, or self-employed",India,ChatGPT
"Student, full-time",Italy,Bing AI;ChatGPT
"Employed, full-time",Portugal,NA
"Employed, full-time",Ukraine,ChatGPT
"Employed, full-time",Hong Kong (S.A.R.),ChatGPT;GitHub Copilot
"Employed, full-time",India,NA
"Employed, full-time",Norway,GitHub Copilot
"Employed, full-time",Italy,NA
"Employed, full-time",Ukraine,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Student, full-time",Greece,ChatGPT
"Employed, full-time",Ukraine,NA
"Employed, full-time",India,ChatGPT;Visual Studio Intellicode
"Employed, full-time",Norway,GitHub Copilot
"Student, full-time",India,ChatGPT;GitHub Copilot;Google Gemini;Visual Studio Intellicode
"Employed, full-time",Austria,ChatGPT
"Employed, full-time",Germany,GitHub Copilot
"Employed, full-time",Spain,Bing AI;ChatGPT
"Student, full-time",Australia,NA
"Student, full-time",Austria,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT;Google Gemini;Visual Studio Intellicode
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Australia,OpenAI Codex
"Employed, full-time",India,NA
"Employed, full-time",Slovakia,NA
I prefer not to say,Germany,ChatGPT;Snyk Code
"Independent contractor, freelancer, or self-employed",Ireland,NA
"Independent contractor, freelancer, or self-employed",Poland,ChatGPT;GitHub Copilot
"Not employed, but looking for work",South Africa,NA
"Employed, full-time",Belgium,NA
"Independent contractor, freelancer, or self-employed",Austria,ChatGPT;GitHub Copilot
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",India,NA
"Student, full-time;Employed, part-time",Germany,NA
I prefer not to say,United States of America,NA
"Employed, full-time;Student, full-time;Employed, part-time",Finland,NA
"Employed, full-time",Germany,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Zimbabwe,NA
"Student, part-time;Employed, part-time",Netherlands,ChatGPT;Claude;GitHub Copilot
"Student, full-time",United States of America,NA
"Not employed, but looking for work",Nigeria,ChatGPT;Google Gemini
"Employed, full-time",Denmark,NA
"Employed, full-time",Ukraine,ChatGPT;GitHub Copilot;Google Gemini
"Student, full-time;Independent contractor, freelancer, or self-employed",Ukraine,ChatGPT
"Employed, full-time",Romania,ChatGPT;Google Gemini
"Student, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT
"Employed, full-time",Czech Republic,ChatGPT
"Employed, full-time",Austria,ChatGPT;GitHub Copilot
"Employed, full-time;Student, full-time;Independent contractor, freelancer, or self-employed;Student, part-time;Employed, part-time;Retired",Bangladesh,Quora Poe;Whispr AI;You.com
"Employed, full-time",Cyprus,NA
"Not employed, but looking for work",United States of America,ChatGPT
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,Google Gemini
"Employed, full-time",Ukraine,ChatGPT;WolframAlpha;Visual Studio Intellicode
"Employed, full-time",Australia,NA
"Employed, full-time",Ukraine,ChatGPT;GitHub Copilot
"Employed, full-time;Student, part-time",Spain,NA
"Employed, full-time",Norway,Bing AI;ChatGPT
"Employed, full-time",Cyprus,ChatGPT;GitHub Copilot
"Student, full-time",Australia,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Pakistan,ChatGPT;GitHub Copilot
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Independent contractor, freelancer, or self-employed;Retired",United Kingdom of Great Britain and Northern Ireland,Bing AI;ChatGPT;Google Gemini
"Employed, full-time",Viet Nam,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",United Kingdom of Great Britain and Northern Ireland,ChatGPT
"Employed, full-time",Belgium,ChatGPT;GitHub Copilot;Google Gemini
"Employed, full-time",Sweden,ChatGPT
"Employed, full-time",Germany,ChatGPT
"Employed, full-time",Greece,ChatGPT;GitHub Copilot
"Not employed, but looking for work;Not employed, and not looking for work",Netherlands,ChatGPT;Claude;Codeium;Perplexity AI
"Student, full-time;Employed, part-time",Italy,Bing AI;ChatGPT;Claude;GitHub Copilot;Google Gemini;Meta AI;WolframAlpha
"Employed, full-time",Australia,NA
"Employed, full-time",Ukraine,NA
"Student, full-time",India,ChatGPT;Claude;Google Gemini
